Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag,Entry_ema_fast,Exit_ema_fast,Entry_ema_slow,Exit_ema_slow,Entry_rsi,Exit_rsi,Entry_atr,Exit_atr,Entry_breakout_high,Exit_breakout_high,Entry_breakout_low,Exit_breakout_low,Entry_avg_volume,Exit_avg_volume,Entry_rsi_rank,Exit_rsi_rank,Entry_tactical_support,Exit_tactical_support,Entry_tactical_resistance,Exit_tactical_resistance,Entry_macro_support,Exit_macro_support,Entry_macro_resistance,Exit_macro_resistance
0.09579688,8615,8631,109122.6,110348.7,103476.335,110348.7,96.43188877845557,21.024665789544002,0.009224749960136579,2025-05-25 23:00:00,2025-05-26 15:00:00,0 days 16:00:00,,0.0010603234519029627,0.0010639916203127402,0.0009978748223612632,0.0010013220286186628,63.66611068419302,64.70348273849004,6.290642857142863e-06,4.510928571428559e-06,0.00109169,0.001101979,0.00106497,0.001071188,694840198000.0,658547362000.0,0.98,0.82,0.0010366025000000001,0.001036633375,0.0010687478749999999,0.00107394275,0.00096173885,0.000963505925,0.001037090225,0.0010381946250000002
0.09790492,8964,8971,107707.79999999999,108654.54285714285,104645.40357142857,108654.54285714285,71.50784582070146,21.182937868441144,0.0067811292616292585,2025-06-09 12:00:00,2025-06-09 19:00:00,0 days 07:00:00,,0.0010536126633918994,0.0010547490060422039,0.001029290571391244,0.0010300499888182294,76.15062775393082,74.64962769503438,4.5437142857143015e-06,6.3367142857142655e-06,0.0010777480000000001,0.0010849689999999999,0.001052532,0.001052532,395252034000.0,472780712000.0,0.98,0.96,0.001047874,0.001047874,0.00105768875,0.00105768875,0.001040121625,0.00104082425,0.0010589529,0.001060472925
0.09808033000000001,9139,9158,108207.09999999999,104940.97857142858,104940.97857142858,109229.74285714285,-341.24790141950785,20.905633885151644,-0.03215380050978955,2025-06-16 19:00:00,2025-06-17 14:00:00,0 days 19:00:00,,0.0010619827649922013,0.0010626135423406238,0.0010418559894838897,0.0010429168575751774,78.42208872137385,26.77659895743966,5.221714285714258e-06,5.482928571428576e-06,0.0010824839999999999,0.0010890000000000001,0.0010492,0.001051407,462557840000.0,654366444000.0,1.0,0.02,0.001051274,0.0010520751250000001,0.001060302125,0.001065339625,0.001050417425,0.001051691625,0.001075051075,0.0010756069
0.09557234,9441,9442,107657.99999999999,107955.97142857143,104699.75928571427,107955.97142857143,7.871094895592734,20.606731786121713,0.0007649915207680841,2025-06-29 09:00:00,2025-06-29 10:00:00,0 days 01:00:00,,0.001058102474131395,0.0010582560457318509,0.00104728467512059,0.001047359992156948,67.04328581372273,71.83766332597875,1.6445000000000194e-06,1.906428571428587e-06,0.001076964,0.0010793600000000001,0.001070398,0.001070591,290426520000.0,293934338000.0,1.0,1.0,0.001045738125,0.001045738125,0.001068036875,0.001068101625,0.00104744455,0.00104744455,0.0010612439,0.0010612439
0.09472891,9520,9520,108695.4,109573.97142857144,104766.43178571427,109573.97142857144,62.54969414390194,20.676419641813716,0.0060747930192343305,2025-07-02 16:00:00,2025-07-02 16:00:00,0 days 00:00:00,,0.0010635238470457814,0.0010635238470457814,0.001051218261319682,0.001051218261319682,76.26544122045895,76.26544122045895,4.83592857142858e-06,4.83592857142858e-06,0.001087546,0.001087546,0.0010501,0.0010501,596664218000.0,596664218000.0,1.0,1.0,0.0010473152500000001,0.0010473152500000001,0.00107137675,0.00107137675,0.0010490215249999999,0.0010490215249999999,0.00106828055,0.00106828055
0.09269666,9692,9713,111718.8,112835.0,107256.8575,112835.0,82.65262464169098,20.815387250308,0.007981165211226694,2025-07-09 20:00:00,2025-07-10 17:00:00,0 days 21:00:00,,0.0010790694007063123,0.001083478113685681,0.0010623597457242056,0.0010646563998510997,64.29368685543172,80.6540620196954,6.459714285714282e-06,4.749214285714277e-06,0.001120368,0.00112666,0.001082735,0.001104322,517454982000.0,630658570000.0,0.98,1.0,0.001074242875,0.0010748496249999998,0.001083150125,0.001086666625,0.0010561268749999999,0.001056960125,0.001078226275,0.001079817925
0.09178571,9714,9717,113682.2,114632.04285714285,107342.48607142856,114632.04285714285,66.22601614752969,20.955984883755285,0.006346891723468662,2025-07-10 18:00:00,2025-07-10 21:00:00,0 days 03:00:00,,0.001083812564757537,0.0010850012542179914,0.001064809910617246,0.001065334729932332,75.5340855095326,85.30560022468937,5.116428571428574e-06,8.222785714285708e-06,0.0011376000000000001,0.0011376000000000001,0.001104322,0.001104322,646685880000.0,755200474000.0,0.96,1.0,0.00107493275,0.001075038875,0.0010867502500000001,0.001086963375,0.001056960125,0.001056960125,0.001079890475,0.00108000015
0.0880724,9850,9885,119188.9,120368.3,108622.7525,120368.3,82.77421101872073,21.09837754128,0.007885321535814204,2025-07-16 10:00:00,2025-07-17 21:00:00,1 days 11:00:00,,0.0011425236340987847,0.001151966826449178,0.0010952837342390444,0.0011022136515093331,57.37335244581246,64.12302366461992,5.938214285714318e-06,8.227499999999973e-06,0.0011920400000000001,0.001198791,0.0011567810000000002,0.001174128,878150490000.0,658497748000.0,0.84,0.98,0.00108835,0.001088885125,0.0011719345,0.001176900875,0.001066381175,0.001070237575,0.0010869079500000001,0.001089601675
0.08933879,9950,9966,118378.7,118969.64285714286,116253.18357142858,118969.64285714286,31.589706056924445,21.204413759362286,0.0029869775076574044,2025-07-20 14:00:00,2025-07-21 06:00:00,0 days 16:00:00,,0.0011628237616168838,0.00116464824850329,0.0011131122188146097,0.0011154783831680926,62.00089839130829,66.62659341566754,3.087785714285721e-06,6.503999999999981e-06,0.00118383,0.001188566,0.001172459,0.001163701,352850796000.0,316851298000.0,1.0,0.98,0.0011640787499999999,0.0011715432500000002,0.00118092575,0.001181392875,0.001073038825,0.00107419905,0.001111857175,0.0011621900500000002
0.0893658,10191,10192,118678.4,117767.64357142858,117767.64357142858,119711.04285714286,-102.52066668502377,21.13018984059557,-0.009666480776138308,2025-07-30 15:00:00,2025-07-30 16:00:00,0 days 01:00:00,,0.0011772166227516023,0.0011772149840622228,0.0011411541627791607,0.0011412336651925256,49.20603827931044,46.08931543859392,5.424500000000044e-06,5.455142857142897e-06,0.001186923,0.001187635,0.0011704410000000001,0.0011704410000000001,459455926000.0,447813560000.0,0.66,0.52,0.00117922525,0.00117922525,0.001185318625,0.00118502125,0.001097014075,0.00109744325,0.0011806309,0.0011806309
0.08950444,10388,10426,117407.50000000001,117772.33750000001,115753.675,117772.33750000001,11.60493647377146,21.0496396547285,0.0011043388412154214,2025-08-07 20:00:00,2025-08-09 10:00:00,1 days 14:00:00,,0.0011556556775167005,0.0011582312004020595,0.001143744721536,0.001145642754664676,67.94187456600415,63.49440199525231,6.092000000000061e-06,3.0917142857142847e-06,0.001174872,0.001174812,0.001142114,0.0011585,474704358000.0,478984614000.0,0.88,0.7,0.001146963125,0.001146963125,0.00117761725,0.001177253875,0.001159537275,0.001165046,0.00118113055,0.00118113055
0.08878719,10444,10463,118480.0,119279.34285714287,116511.4360714286,119279.34285714287,49.86142218375505,21.10998394853229,0.004739901369730964,2025-08-10 04:00:00,2025-08-10 23:00:00,0 days 19:00:00,,0.0011594874731786864,0.0011624739922952022,0.0011465698356724588,0.0011481387011451302,73.1922848787699,68.24885448237207,4.09821428571428e-06,4.443428571428511e-06,0.001185,0.00119094,0.0011635,0.001172013,394138506000.0,422320504000.0,0.98,0.96,0.001146963125,0.001146963125,0.0011742131249999998,0.0011742131249999998,0.0011664097500000002,0.001168372575,0.001181147875,0.00118164875
0.08802022,10466,10466,120050.0,121037.38571428572,116693.46964285713,121037.38571428572,65.68934306649004,21.220564729796287,0.006216562503718718,2025-08-11 02:00:00,2025-08-11 02:00:00,0 days 00:00:00,,0.0011632829985551202,0.0011632829985551202,0.0011485051493115859,0.0011485051493115859,82.26900868866676,82.26900868866676,5.991571428571364e-06,5.991571428571364e-06,0.001200952,0.001200952,0.00117342,0.00117342,507338350000.0,507338350000.0,1.0,1.0,0.001146963125,0.001146963125,0.0011742131249999998,0.0011742131249999998,0.001168460175,0.001168460175,0.0011817281,0.0011817281
0.08724055,10467,10533,121837.5,123035.81428571427,116666.27035714287,123035.81428571427,83.17871473996146,21.362882618608573,0.00782551325682624,2025-08-11 03:00:00,2025-08-13 21:00:00,2 days 18:00:00,,0.0011636399287972788,0.0011766707610435267,0.0011486571933752672,0.0011556622086922581,80.06671203739688,67.75253419248969,6.202428571428513e-06,8.110999999999975e-06,0.001218809,0.0012299000000000001,0.00117342,0.00118829,530438280000.0,630198632000.0,0.98,0.94,0.001146963125,0.001146963125,0.0011742131249999998,0.001176140125,0.0011685371250000002,0.0011699326,0.001181755525,0.0011846342000000002
-0.09819496,10825,10847,109049.49999999999,111848.0,117925.14321428571,107214.22857142858,-296.48961673660114,21.6910211766,-0.027688320441634422,2025-08-26 01:00:00,2025-08-26 23:00:00,0 days 22:00:00,,0.0011495628667033313,0.0011433479287481724,0.001153848737494505,0.0011514636942492511,36.733214162724984,60.68910243809641,9.858571428571427e-06,7.08971428571432e-06,0.001128977,0.0011187710000000002,0.0010885880000000001,0.0010935,728955742000.0,720751270000.0,0.48,0.98,0.001146794,0.001137922125,0.001176483125,0.001173439125,0.0011490310250000001,0.0011471227000000002,0.001178086075,0.00117772035
-0.09357619,10898,10903,111425.0,110247.2,115657.6075,110247.2,89.47079667708246,20.743239904918,0.008580909131702938,2025-08-29 02:00:00,2025-08-29 07:00:00,0 days 05:00:00,,0.0011365394807443057,0.0011357048237947336,0.0011480342449364347,0.001147626270826783,39.19710442595086,27.889882620480606,5.783357142857185e-06,5.38228571428569e-06,0.00113429,0.00113429,0.001113501,0.0011085000000000001,442183644000.0,467215592000.0,0.02,0.02,0.00112888225,0.001128075625,0.0011546275,0.0011535128750000002,0.001142073525,0.00114141375,0.001173778775,0.001173447225
-0.0955873,10904,10909,109969.0,108892.54285714285,115512.7560714286,108892.54285714285,81.97524789588043,20.920383955548573,0.007798521401485896,2025-08-29 08:00:00,2025-08-29 13:00:00,0 days 05:00:00,,0.0011354396555303167,0.0011342403154618226,0.0011475112225008634,0.0011469736668674626,25.500753497728553,30.69716331508492,5.5346428571428236e-06,7.389785714285679e-06,0.00113429,0.001126623,0.0010985,0.0010936000000000001,481891094000.0,543911308000.0,0.02,0.08,0.001128034375,0.0011271578750000001,0.00115336575,0.00115265125,0.00114123385,0.00114028975,0.0011734212499999999,0.001172768625
-0.09710048,10910,10916,109056.49999999999,107578.44285714287,115486.81857142858,107578.44285714287,122.48470110265353,21.035356936201143,0.011566685158610176,2025-08-29 14:00:00,2025-08-29 20:00:00,0 days 06:00:00,,0.0011338901804753651,0.0011318665490476561,0.00114682843120294,0.0011459737448311896,26.226358633790298,27.68370425451934,8.063642857142807e-06,8.472642857142818e-06,0.001126623,0.001125857,0.001088081,0.001078696,588551640000.0,596383118000.0,0.04,0.06,0.0011263305000000002,0.0011254746250000001,0.00115257375,0.0011514061250000002,0.0011400655,0.0011393148,0.001172736575,0.001172112725
0.09237541,11334,11345,115893.19999999998,116738.6,111115.27499999998,116738.6,56.604713709963725,21.489457904037998,0.005287352493502786,2025-09-16 06:00:00,2025-09-16 17:00:00,0 days 11:00:00,,0.0011369351444134473,0.0011382773577327066,0.0011341834453768532,0.001134707694920607,57.98768614755806,66.24702534998562,4.281500000000015e-06,4.892928571428487e-06,0.001159122,0.0011605,0.001143385,0.001146,376575952000.0,436797176000.0,0.92,1.0,0.0011119965,0.00111279525,0.0011437420000000001,0.0011473651250000002,0.0011124206999999998,0.0011124206999999998,0.00114463705,0.00114463705
