candidate_id,prefilter_score,prefilter_return_pct,prefilter_max_dd_pct,prefilter_profit_factor,prefilter_trades,params_json,ema_fast_period,ema_slow_period,rsi_period,atr_period,vp_tactical_lookback,vp_macro_lookback,vp_bins,breakout_lookback,rsi_rank_lookback,ema_slope_lookback,min_body_ratio,min_vol_ratio,min_break_dist_atr,min_node_percentile,min_room_to_target_atr,min_rsi_percentile_long,max_rsi_percentile_short,min_close_position_long,max_close_position_short,stop_atr_buffer,tp_fraction_to_next_level
65,17.602767663871532,31.448972878025817,-23.42652190003529,1.2026915438132628,204,"{""atr_period"":14,""breakout_lookback"":20,""ema_fast_period"":200,""ema_slope_lookback"":20,""ema_slow_period"":900,""max_close_position_short"":0.45,""max_rsi_percentile_short"":0.75,""min_body_ratio"":0.6,""min_break_dist_atr"":0.05,""min_close_position_long"":0.55,""min_node_percentile"":0.35,""min_room_to_target_atr"":0.5,""min_rsi_percentile_long"":0.25,""min_vol_ratio"":1.0,""rsi_period"":14,""rsi_rank_lookback"":50,""stop_atr_buffer"":0.3,""tp_fraction_to_next_level"":1.0,""vp_bins"":24,""vp_macro_lookback"":750,""vp_tactical_lookback"":336}",200,900,14,14,336,750,24,20,50,20,0.6,1.0,0.05,0.35,0.5,0.25,0.75,0.55,0.45,0.3,1.0
53,16.960844925578485,22.916861249129163,-13.82324348099665,1.3649564368214502,106,"{""atr_period"":14,""breakout_lookback"":20,""ema_fast_period"":300,""ema_slope_lookback"":20,""ema_slow_period"":600,""max_close_position_short"":0.4,""max_rsi_percentile_short"":0.55,""min_body_ratio"":0.8,""min_break_dist_atr"":0.02,""min_close_position_long"":0.55,""min_node_percentile"":0.5,""min_room_to_target_atr"":1.0,""min_rsi_percentile_long"":0.25,""min_vol_ratio"":0.5,""rsi_period"":14,""rsi_rank_lookback"":50,""stop_atr_buffer"":0.75,""tp_fraction_to_next_level"":0.85,""vp_bins"":16,""vp_macro_lookback"":1000,""vp_tactical_lookback"":336}",300,600,14,14,336,1000,16,20,50,20,0.8,0.5,0.02,0.5,1.0,0.25,0.55,0.55,0.4,0.75,0.85
110,10.537040192939859,15.686564801694146,-11.421999672539629,1.3043962012276569,121,"{""atr_period"":14,""breakout_lookback"":20,""ema_fast_period"":300,""ema_slope_lookback"":20,""ema_slow_period"":750,""max_close_position_short"":0.4,""max_rsi_percentile_short"":0.75,""min_body_ratio"":0.8,""min_break_dist_atr"":0.05,""min_close_position_long"":0.55,""min_node_percentile"":0.35,""min_room_to_target_atr"":1.0,""min_rsi_percentile_long"":0.25,""min_vol_ratio"":0.5,""rsi_period"":14,""rsi_rank_lookback"":50,""stop_atr_buffer"":0.3,""tp_fraction_to_next_level"":0.65,""vp_bins"":24,""vp_macro_lookback"":750,""vp_tactical_lookback"":252}",300,750,14,14,252,750,24,20,50,20,0.8,0.5,0.05,0.35,1.0,0.25,0.75,0.55,0.4,0.3,0.65
32,8.339650767994028,23.053261484065153,-23.645348617115523,1.1506285866688857,245,"{""atr_period"":14,""breakout_lookback"":20,""ema_fast_period"":200,""ema_slope_lookback"":20,""ema_slow_period"":900,""max_close_position_short"":0.45,""max_rsi_percentile_short"":0.75,""min_body_ratio"":0.4,""min_break_dist_atr"":0.03,""min_close_position_long"":0.6,""min_node_percentile"":0.65,""min_room_to_target_atr"":1.0,""min_rsi_percentile_long"":0.45,""min_vol_ratio"":0.8,""rsi_period"":14,""rsi_rank_lookback"":50,""stop_atr_buffer"":0.3,""tp_fraction_to_next_level"":0.85,""vp_bins"":16,""vp_macro_lookback"":1000,""vp_tactical_lookback"":252}",200,900,14,14,252,1000,16,20,50,20,0.4,0.8,0.03,0.65,1.0,0.45,0.75,0.6,0.45,0.3,0.85
49,7.24803369990998,25.386280500439806,-28.42044199458821,1.1536878649796716,233,"{""atr_period"":14,""breakout_lookback"":20,""ema_fast_period"":200,""ema_slope_lookback"":20,""ema_slow_period"":900,""max_close_position_short"":0.4,""max_rsi_percentile_short"":0.75,""min_body_ratio"":0.4,""min_break_dist_atr"":0.05,""min_close_position_long"":0.55,""min_node_percentile"":0.65,""min_room_to_target_atr"":0.75,""min_rsi_percentile_long"":0.45,""min_vol_ratio"":1.0,""rsi_period"":14,""rsi_rank_lookback"":50,""stop_atr_buffer"":0.3,""tp_fraction_to_next_level"":1.0,""vp_bins"":24,""vp_macro_lookback"":750,""vp_tactical_lookback"":252}",200,900,14,14,252,750,24,20,50,20,0.4,1.0,0.05,0.65,0.75,0.45,0.75,0.55,0.4,0.3,1.0
45,6.478420514532873,23.07434103110176,-25.952944511904807,1.1627923435836693,283,"{""atr_period"":14,""breakout_lookback"":20,""ema_fast_period"":200,""ema_slope_lookback"":20,""ema_slow_period"":900,""max_close_position_short"":0.4,""max_rsi_percentile_short"":0.75,""min_body_ratio"":0.4,""min_break_dist_atr"":0.03,""min_close_position_long"":0.55,""min_node_percentile"":0.65,""min_room_to_target_atr"":1.25,""min_rsi_percentile_long"":0.45,""min_vol_ratio"":1.0,""rsi_period"":14,""rsi_rank_lookback"":50,""stop_atr_buffer"":0.5,""tp_fraction_to_next_level"":0.65,""vp_bins"":24,""vp_macro_lookback"":1000,""vp_tactical_lookback"":252}",200,900,14,14,252,1000,24,20,50,20,0.4,1.0,0.03,0.65,1.25,0.45,0.75,0.55,0.4,0.5,0.65
109,5.217270650073864,10.568578931552729,-11.21526592187413,1.1698782250016728,108,"{""atr_period"":14,""breakout_lookback"":20,""ema_fast_period"":250,""ema_slope_lookback"":20,""ema_slow_period"":600,""max_close_position_short"":0.45,""max_rsi_percentile_short"":0.65,""min_body_ratio"":0.8,""min_break_dist_atr"":0.0,""min_close_position_long"":0.5,""min_node_percentile"":0.35,""min_room_to_target_atr"":0.75,""min_rsi_percentile_long"":0.35,""min_vol_ratio"":1.0,""rsi_period"":14,""rsi_rank_lookback"":50,""stop_atr_buffer"":0.75,""tp_fraction_to_next_level"":0.85,""vp_bins"":16,""vp_macro_lookback"":1000,""vp_tactical_lookback"":252}",250,600,14,14,252,1000,16,20,50,20,0.8,1.0,0.0,0.35,0.75,0.35,0.65,0.5,0.45,0.75,0.85
105,4.309130178608273,10.827979659217634,-12.842667350012249,1.1758676954683704,106,"{""atr_period"":14,""breakout_lookback"":20,""ema_fast_period"":300,""ema_slope_lookback"":20,""ema_slow_period"":600,""max_close_position_short"":0.4,""max_rsi_percentile_short"":0.55,""min_body_ratio"":0.8,""min_break_dist_atr"":0.0,""min_close_position_long"":0.55,""min_node_percentile"":0.35,""min_room_to_target_atr"":1.0,""min_rsi_percentile_long"":0.35,""min_vol_ratio"":1.0,""rsi_period"":14,""rsi_rank_lookback"":50,""stop_atr_buffer"":0.75,""tp_fraction_to_next_level"":0.85,""vp_bins"":16,""vp_macro_lookback"":1000,""vp_tactical_lookback"":336}",300,600,14,14,336,1000,16,20,50,20,0.8,1.0,0.0,0.35,1.0,0.35,0.55,0.55,0.4,0.75,0.85
80,2.712577418096727,7.916136607699227,-10.516928712758244,1.1694533422229603,112,"{""atr_period"":14,""breakout_lookback"":20,""ema_fast_period"":200,""ema_slope_lookback"":20,""ema_slow_period"":900,""max_close_position_short"":0.5,""max_rsi_percentile_short"":0.65,""min_body_ratio"":0.8,""min_break_dist_atr"":0.05,""min_close_position_long"":0.6,""min_node_percentile"":0.35,""min_room_to_target_atr"":1.0,""min_rsi_percentile_long"":0.45,""min_vol_ratio"":1.0,""rsi_period"":14,""rsi_rank_lookback"":50,""stop_atr_buffer"":0.75,""tp_fraction_to_next_level"":0.65,""vp_bins"":24,""vp_macro_lookback"":1000,""vp_tactical_lookback"":252}",200,900,14,14,252,1000,24,20,50,20,0.8,1.0,0.05,0.35,1.0,0.45,0.65,0.6,0.5,0.75,0.65
97,-0.005171414805472008,14.210124221679488,-22.607759161059494,1.107189013224123,211,"{""atr_period"":14,""breakout_lookback"":20,""ema_fast_period"":300,""ema_slope_lookback"":20,""ema_slow_period"":750,""max_close_position_short"":0.45,""max_rsi_percentile_short"":0.55,""min_body_ratio"":0.6,""min_break_dist_atr"":0.02,""min_close_position_long"":0.55,""min_node_percentile"":0.65,""min_room_to_target_atr"":0.75,""min_rsi_percentile_long"":0.25,""min_vol_ratio"":1.0,""rsi_period"":14,""rsi_rank_lookback"":50,""stop_atr_buffer"":0.3,""tp_fraction_to_next_level"":1.0,""vp_bins"":24,""vp_macro_lookback"":1000,""vp_tactical_lookback"":336}",300,750,14,14,336,1000,24,20,50,20,0.6,1.0,0.02,0.65,0.75,0.25,0.55,0.55,0.45,0.3,1.0
