run,final_return_pct,max_dd_pct
330,6.64635323020033,-15.530589430857267
331,-10.045164263810014,-19.70990902009634
332,41.93126859106056,-8.570503267323392
333,44.73729839098242,-16.526446798863713
334,41.61630835540586,-11.773952594823012
335,25.101329400433436,-11.966023620548993
336,46.0620899849941,-9.758338565727787
337,11.8128948930464,-12.442889914087885
338,28.09752038850899,-12.726006051044813
339,-13.56705833424703,-19.553974094853956
340,65.76584015490623,-10.29496454064428
341,29.25327211012878,-9.459732925883413
342,42.42793073636803,-10.981873205328652
343,11.810806003014296,-16.174718278041656
344,39.76153160084854,-13.112253826040654
345,47.27648221608265,-11.659503886904975
346,5.035501796054254,-13.686391541323006
347,42.8834407537106,-9.42958134495343
348,18.351554152053097,-18.45563285791402
349,-4.44830450877558,-20.93029224934313
350,34.69471448176169,-11.31543032144311
351,6.954565008873104,-15.52365264442056
352,52.85875603026356,-7.716136146116792
353,-4.715211921124396,-21.79159614832643
354,22.127116960397196,-9.72844855749223
355,51.803687553538765,-9.310593052871441
356,-10.749494328867614,-18.509581868244908
357,74.07129694993687,-5.014735006632054
358,-10.159326001288937,-19.768868626801016
359,-12.15968194495024,-30.5469189721997
360,5.78771830237601,-15.892872425331184
361,41.08501601164851,-10.21912106487065
362,21.482187779601848,-16.05568824554805
363,40.20932278353242,-10.093555733675153
364,19.24523521184467,-10.102779171735987
365,34.604290584691675,-8.636415145861044
366,36.83769944468294,-8.291053492709121
367,-11.724976159562539,-28.670897567742802
368,90.03936901990224,-9.623486404986048
369,74.66974323383025,-6.466450332257989
370,33.73456707211806,-14.564177619336593
371,62.02191767741596,-6.6457730212811095
372,29.239700254673796,-7.716136146116792
373,24.84782759763009,-9.220943056844465
374,64.15761017219009,-7.226106878931238
375,24.02836700575881,-9.68845632668306
376,-2.224091946847384,-23.600964544714753
377,22.391390823309653,-11.893398187384662
378,34.854699641252026,-11.6354161180934
379,34.42882656864155,-13.546536256141772
380,49.22194395746542,-16.500993656590047
381,19.064490280265687,-16.894079362316216
382,24.751290705872343,-11.69103897372662
383,28.595239499468295,-8.720397868738495
384,37.66188463015927,-7.716136146116792
385,10.312657177617734,-18.3999157319226
386,5.866804639881806,-20.573564323417294
387,16.073987388505806,-16.718157314241367
